Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
InsectEPGSmallTrain,EPG,1,601,Not specified,"timeseriesclassification.com, cs.ucr.edu",InsectEPGSmallTrain Description,This EPG (Electrical Penetration Graph) dataset tracks insect feeding behavior. The task is to classify the behavior into one of 3 types. This version has a small training set.,Donated by E. Keogh & S. Gharghabi. It includes 17 instances for training and 249 for testing.,279,6,22,Auto-reconciled (1 unique source) on 2025-08-04 17:42:30,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
InsectSound,Audio,1,600,166.67mus (1/6 kHz),"Potamitis, I. et al. (2016)",monster-monash/InsectSound,"Similar to FruitFlies, this dataset consists of wingbeat recordings from an infrared sensor, sampled at 6 kHz. It is a more complex multi-class problem, featuring recordings from six different insect species. For four of these species, both male and female recordings are included, making a total of 10 distinct classes. The task is to identify the specific insect species and, where applicable, its gender.5","This dataset increases the classification complexity compared to FruitFlies, with more classes that may be acoustically similar. The inclusion of gender as a classification factor for some species introduces an even finer level of detail that models must capture from the wingbeat patterns.",280,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InsectWingbeat,Audio,200,30,Uniform,timeseriesclassification.com,Link,"A dataset derived from the sound of insect wingbeats, with the goal of classifying the insect species. The 200 variables are features extracted from the audio signal.","A bioacoustics problem with very high dimensionality and short series. This is a ""fat"" dataset (d>m), which can be challenging for many traditional machine learning models. It tests feature-rich classification.",281,5,22,Auto-reconciled (1 unique source) on 2025-08-04 17:42:31,,,,,,,Y,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
InsectWingbeatSound,Sensor,1,256,Not specified,"timeseriesclassification.com, cs.ucr.edu",InsectWingbeatSound Description,This dataset contains audio recordings of insect wingbeats. The task is to classify the insect into one of 11 different species based on the sound.,Donated by Y. Chen & E. Keogh. An 11-class problem with 220 training and 1980 testing instances.,282,6,22,Auto-reconciled (1 unique source) on 2025-08-04 17:42:31,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
INTERSAL,Corporate,1,94,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",283,2,22,Auto-reconciled (1 unique source) on 2025-08-04 17:42:32,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
IOPS,IT Operations/System Performance,Not specified,102119.2 (Average length per series),Not specified,Not specified,Download Public Datasets,"A dataset with performance indicators reflecting the scale, quality of web services, and health status of a machine.",Dataset details are sparse. The unusually specific average series length suggests potential pre-processing or aggregation. Further investigation is needed to determine the dataset's exact composition.,284,1,22,Split into 2 records on 2025-08-04 17:42:44,"Multiple Datasets

The sources describe datasets with the name ""IOPS"", but they have key differences suggesting they are distinct. While both relate to IT performance and web services, Source 2 ('TSB-UAD MOMENT') specifically refers to the *iops.ai Competition* dataset with a defined number of variables and specific time intervals. Source 1 ('TSB-UAD Full') describes a broader dataset available via a different link, lacks these specifics, and has a different number of data points.  The remaining web search results do not refer to a specific dataset called 'IOPS' but to the general concept of IOPS as a performance metric in cloud computing and databases. Therefore, two distinct datasets are identified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOPS,IT / Web,1,102119,1 or 5 Minutes,iops.ai Competition,Competition Website,"Contains Key Performance Indicators (KPIs) from large tech companies (e.g., Alibaba, Baidu, Tencent).  The series reflect the scale, quality, and health status of web services, with anomalies indicating operational issues.  This dataset represents real-world IT operations (AIOps) data, where anomalies can be sudden spikes, level shifts, or changes in variance corresponding to system failures or performance degradation.","This dataset appears well-defined and suitable for anomaly detection and performance analysis tasks. The link points to a competition website, suggesting a focus on benchmarking algorithms.",284,1,22,Split into 2 records on 2025-08-04 17:42:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOpsCompetition,AIOps / IT Operations,Multivariate,29 time series,1 min or 5 min,iops.ai,http://iops.ai/competition_detail/?competition_id=5,"Dataset from the final round of an AIOps competition, containing KPIs from major tech companies. 22","Represents a practical industry challenge. However, the primary source link is inaccessible, limiting its verifiability and utility as a primary benchmark. 22",285,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IoT (TimeBench),Internet of Things (IoT) / Sensor Data,Not specified (processed as univariate),5.8B,Not specified (likely high-frequency),Proprietary (Internal to research team),Not publicly available,"A proprietary collection of time series data from Internet of Things (IoT) devices, curated by the Sundial research team. The specific nature of the sensor data is not disclosed.","IoT data often exhibits both strong periodicities (e.g., daily cycles) and stochastic, event-driven behavior, providing another class of complex real-world patterns for the model to learn.",286,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
IPDGNP,Macroeconomic,1,167,Quarterly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A quarterly macroeconomic time series from the M2 Forecasting Competition, representing an economic indicator from the USA or France.","Part of a set of 29 series used in a real-time, two-round competition structure. The full historical data is in the M2CALL subset.",287,2,22,Auto-reconciled (1 unique source) on 2025-08-04 17:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
IPDIMP,Macroeconomic,1,167,Quarterly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A quarterly macroeconomic time series from the M2 Forecasting Competition, representing an economic indicator from the USA or France.","Part of a set of 29 series used in a real-time, two-round competition structure. The full historical data is in the M2CALL subset.",288,2,22,Auto-reconciled (1 unique source) on 2025-08-04 17:43:13,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
ItalyPowerDemand,Energy (Sensor),1 (Univariate),24,Hourly,UCR Time Series Classification Archive,https://timeseriesclassification.com/description.php?Dataset=ItalyPowerDemand,"This dataset contains 24 hourly measurements of Italian electrical power demand, derived from twelve monthly time series spanning from April 1999 to March 2005. The data is used for a binary classification task to distinguish between days in the winter months (October to March) and the summer months (April to September).  It consists of 1096 instances, with 67 instances used for training and 1029 for testing.  The data was first used in the paper ""Intelligent Icons: Integrating Lite-Weight Data Mining and Visualization into GUI Operating Systems"".","Equal length series. Donated by JJ van Wijk, E. Keogh & L. Wei.",289,7,22,Reconciled on 2025-08-04 17:43:23,,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Japan Influenza,Health / Epidemiology,1 (Patient Counts),~800,Weekly,Japan NIID,NIID Japan,Influenza-affected patient counts collected by Japan's National Institute of Infectious Diseases. Used for forecasting up to 4 weeks ahead.,Data covers the 2004 to 2019 flu seasons. Compiling this continuous series from NIID reports can be challenging.,290,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
JapaneseVowels,"Speech Recognition (Although described as 'Speech (Acoustics)' in one source and 'Audio' or 'Voice' in others, 'Speech Recognition' best captures the task of speaker identification.)",12 (LPC cepstrum coefficients),7-29 (Original dataset has variable length; some sources refer to padded versions with 29 time points.),6.4 ms (Shift length),UCI Machine Learning Repository,https://archive.ics.uci.edu/ml/datasets/japanese+vowels,"This dataset comprises 640 time series, each representing utterances of the Japanese vowels /ae/ by nine male speakers. Each time series consists of 12 LPC cepstrum coefficients extracted at each time point, with series length varying between 7 and 29 points. The primary task associated with this dataset is speaker identification.  A uniform 6.4ms shift length between measurements is used for extracting the features.  Several preprocessed versions of this dataset exist, some with padding to a fixed series length, and they are available through secondary sources.","Original dataset has unequal length series. Several derived versions are available with padding or other preprocessing steps. The UCI repository contains training (270 instances) and testing (370 instances) splits. The dataset is multivariate, with time series characteristics.",291,8,22,Reconciled on 2025-08-04 17:44:17,,,,,,,Y,X,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,X,,,Y,,,,
kaggle-energy/tutorial01.csv,Energy / Economics,2,1461,Daily,ourownstory/neuralprophet-data,Link,"Daily energy price data from Spain, spanning four years.14",Used in Neural Prophet's introductory tutorials to explain the basics of the trend component and the automatic detection of changepoints.15,292,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`kaggle_web_traffic`,Web,1 (univariate),145063 series,1D (Daily),Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"Dataset comprised of 145,063 univariate daily time series representing web traffic.",This version appears to be focused on individual time series analysis.,293,1,22,Split into 2 records on 2025-08-04 17:45:19,"Multiple Datasets

The sources provide conflicting information regarding the `kaggle_web_traffic` dataset, strongly suggesting the existence of two distinct datasets mistakenly sharing the same name. The primary discrepancies lie in the ""Number of Variables at each time point"" and the data sources themselves. Some sources describe a dataset with 1 variable at each time point, totaling 145,063 time series, while others describe 145,063 variables at each time point, with 803 time points. This difference, coupled with variations in the described data sources and links, points to two separate datasets.",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
`kaggle_web_traffic`,Web,145063 (multivariate),803,Daily,Zenodo,https://zenodo.org/record/4656075,"Contains daily web traffic data for approximately 145,063 Wikipedia articles, spanning 803 days. Missing values have been replaced with zeros in this version, which is often referred to as the 'daily without missing values' version stemming from a 2017 Kaggle competition. The large number of series allows models to learn generalized web traffic patterns, encompassing trends, holiday effects, and spikes.","The Zenodo record (4656075) and DOI (10.5281/zenodo.4656075)  are consistent across sources referring to this dataset. Source 'TimeGPT' provides a different  Zenodo DOI (10.5281/zenodo.4656080), possibly indicating a separate version or pre-processed variant within the same repository. This requires further investigation.",293,4,22,Split into 2 records on 2025-08-04 17:45:19,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
kaggle_web_traffic_daily_with_missing_values,Web,>1 (Multivariate),803,Daily,Zenodo,Zenodo Record,"Contains 145,063 daily time series of web traffic for Wikipedia pages, from a Kaggle competition. This version contains the original missing values.",Competition Dataset: Kaggle Web Traffic. Contains missing values.,294,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:45:51,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
kaggle_web_traffic_daily_without_missing_values,Web,>1 (Multivariate),803,Daily,Zenodo,Zenodo Record,"Contains 145,063 daily time series of web traffic for Wikipedia pages. In this version, missing values have been replaced with zeros.",Competition Dataset: Kaggle Web Traffic. Missing values replaced with zeros. Part of the common TSF-32 subset (as 'kaggle_web_traffic').,295,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:45:51,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
kaggle_web_traffic_weekly,Web,">1 (Multivariate, 145,063 series treated as variables)",114 (weeks),Weekly,Zenodo,Zenodo Record,"A weekly aggregated version of the Kaggle web traffic dataset, containing 145,063 time series. This dataset represents a multivariate perspective where each week constitutes a time point and web page traffic is treated as a separate variable.","A stress test for generalization due to its high dimensionality and heterogeneity. Contains series with vastly different statistical properties, from popular to obscure pages.",296,5,22,Split into 3 records on 2025-08-04 17:46:13,"Multiple Datasets

**Reasoning:**

While all sources refer to data derived from the Kaggle Web Traffic Time Series Forecasting competition, there are key discrepancies that point to the existence of multiple distinct datasets:

1. **Number of Time Points/Variables:** Sources conflict on the interpretation of ""variables"" and ""time points."" Some sources (like 'AutoGluon', 'TTM-PreT', 'TimesFM') interpret each of the 145,063 web pages as a separate time series (variable), resulting in a univariate dataset with many series. Other sources (like 'Monash-Common', 'Monash-Full') treat the entire collection as a multivariate dataset with 114 time points, likely representing weeks. 'TSFM-Core' presents significantly different numbers, suggesting a potentially transformed or subsetted version of the data.

2. **Data Aggregation:** The original Kaggle competition data is daily. Sources like 'Monash-Common', 'Monash-Full', 'Monash-small,' and others explicitly mention weekly aggregation, creating a distinct dataset from the original daily data.  'AutoGluon' implicitly mentions weekly aggregation with its '1W-WED' time interval.

3. **Source Repositories and Links:** The provided links and source repositories point to different locations, including Zenodo, Hugging Face, and the original Kaggle competition page. This difference in hosting further strengthens the argument for separate datasets derived from the same original source.

Based on these discrepancies, I've identified three distinct datasets:",,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
kaggle_web_traffic_weekly,Web,"1 (Univariate, each series representing a single page's traffic)","Varies (up to original competition length, likely with some truncation for specific tasks)","1W-WED (Weekly, Wednesday)",Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"This dataset provides weekly web traffic data for 145,063 individual web pages, treating each page as a separate univariate time series.  Aggregated from the daily Kaggle competition data.","A stress test for generalization due to its high dimensionality and heterogeneity. Contains series with vastly different statistical properties, from popular to obscure pages.",296,2,22,Split into 3 records on 2025-08-04 17:46:13,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
kaggle_web_traffic_weekly,Web/Business & Web (Combined for broader coverage),"1 (Univariate, each series representing a single page's traffic)",Varies significantly depending on source and processing (TSFM-Core potentially contains subsets or transformations). Original dataset contains a maximum of around 750 daily points (~107 weeks).,Weekly,"Varies (Kaggle/GluonTS for TimesFM, Qingren/TSFM-ScalingLaws-Dataset for TSFM-Core). Kaggle competition is the ultimate original source.",See individual source links.,"Weekly web traffic data for approximately 145,000 Wikipedia articles, sourced from the Kaggle competition.  Likely presented as a collection of univariate time series, one per page. Specifics of preprocessing and included pages vary between derived datasets.",Significant discrepancy in 'Number of Time Points' between 'TSFM-Core' and other sources suggests potential further processing or subsetting within the `TSFM-Core` dataset.,296,2,22,Split into 3 records on 2025-08-04 17:46:13,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
KDD Cup 2018,Air Quality/Environmental Science,"6 (PM2.5, PM10, NO2, CO, O3, SO2)","min 9504, avg 10897, max 10920 (variations likely due to missing data handling)",1H (Hourly),KDD Cup 2018 competition (Zenodo archive),"https://zenodo.org/records/4656719 (imputed version), https://zenodo.org/records/3893504 (with missing values)","Air quality indicators (PM2.5, PM10, NO2, CO, O3, SO2) measured hourly at 59 stations in Beijing and London, from January 1, 2017, to March 31, 2018.  The dataset exists in multiple versions: one with the original missing values and another where these values have been imputed using different methods as per Zenodo record.",Useful for modeling complex environmental systems with long-range dependencies and interactions between pollutants and weather.,297,6,22,Split into 2 records on 2025-08-04 17:47:16,"Multiple Datasets

The sources provided refer to two distinct datasets associated with the KDD Cup 2018:

1.  One dataset focuses on predicting air quality, containing hourly measurements of multiple pollutants (PM2.5, PM10, NO2, CO, O3, SO2) from stations in Beijing and London.  This dataset includes versions with and without missing values imputed.

2.  The other dataset is derived from the first but appears to be preprocessed for univariate time series analysis. It contains 270 series, possibly representing individual pollutant measurements or some form of aggregation from the original stations/pollutants.  Some source discrepancies regarding the number of variables and time points suggest different aggregation or preprocessing methods applied to this version.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,X,,,X,,,,,X,,,,Y,,,,,,,,,,,,,,,,,,,,,
kdd_cup_2018,Nature (Derived from Air Quality Data),"1 (univariate, likely representing individual time series derived from the original air quality dataset)","9,504 - 10,920 (variations likely due to different preprocessing of missing values), or potentially representing the total time points across all 270 series. UTSD's 2.94 is an outlier, likely an error.",1H (Hourly),Monash Time Series Forecasting Repository,https://huggingface.co/datasets/Monash-University/monash_tsf,"This dataset contains 270 univariate time series derived from the KDD Cup 2018 air quality dataset.  The exact method of deriving these series (individual pollutant, station-specific data, or other aggregation) may vary slightly depending on the source/preprocessing, leading to discrepancies in the reported 'Number of Variables' and 'Number of Time Points'. It appears that one common preprocessing step involves imputing missing values.",Useful for modeling complex environmental systems with long-range dependencies and interactions between pollutants and weather.,297,6,22,Split into 2 records on 2025-08-04 17:47:16,,,,,X,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,Y,,,,
kdd2022,Comp. Benchmark,Highly multivariate (13 variables per turbine).,134 turbines over 245+ days 61,10 minutes 61,Baidu KDD Cup 2022,https://github.com/PaddlePaddle/PGL/tree/main/examples/kddcup2022/wpf_baseline,"The Spatial Dynamic Wind Power Forecasting (SDWPF) dataset from KDD Cup 2022. Contains SCADA data from 134 turbines, including power output and rich internal status variables.61","Inclusion of a competition dataset is strategic. Its key features are the spatial component and rich exogenous variables, enabling the model to learn complex spatio-temporal dynamics.",298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
KDD Cup 2021 Multi-dataset Time Series Anomaly Detection,IT / Web,1,77415,Varies,KDD Cup 2021,https://www.kdd.org/kdd2021/kdd-cup,"This is a composite dataset of 250 time series released for the KDD Cup 2021 anomaly detection competition. It includes a variety of anomaly types from different real-world systems.  The goal of the competition was to develop a general-purpose anomaly detection algorithm applicable across diverse time series data.  Evaluation involved identifying the location of a single anomaly within each time series, with points awarded for predictions within a margin of error around the true anomaly location.","The diversity of series and anomaly types within this dataset makes it a challenging benchmark for general-purpose anomaly detection. The competition was hosted in conjunction with KDD 2021, which took place virtually from August 14-18, 2021.",299,2,22,Split into 2 records on 2025-08-04 17:48:17,"Multiple Datasets

The sources describe two distinct datasets, despite some sources using the name 'KDD21' for both. One dataset relates to the KDD Cup 2021 time series anomaly detection competition, while the other refers to a visualization recommendation dataset from a KDD '21 paper. The differing domains, data structures, and sources confirm they are separate entities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning to Recommend Visualizations from Data Dataset,Visualization Recommendation,Not applicable (Not time series data),Not applicable (Not time series data),Not applicable (Not time series data),GitHub (xeniaqian94/kdd21-MLVis),https://github.com/xeniaqian94/kdd21-MLVis,"This dataset contains approximately 1,000 datasets and their corresponding visualizations, used for research on recommending appropriate visualizations based on data characteristics.  It was curated from the Plot.ly corpus and used in a KDD '21 paper titled ""Learning to Recommend Visualizations from Data"". The data is organized into dataset files (.csv) and visualization files (.csv), along with supporting files for the model implementation described in the paper.","The original curated sample was 1,000 datasets, but pre-processing may result in a slightly smaller final dataset size (e.g., 925 as reported in the paper). | Gemini-identified sources: xeniaqian94/kdd21-MLVis",299,1,22,Split into 2 records on 2025-08-04 17:48:17,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning to Recommend Visualizations from Data Dataset,Visualization Recommendation,Not applicable (Not time series data),Not applicable (Not time series data),Not applicable (Not time series data),GitHub (xeniaqian94/kdd21-MLVis),https://github.com/xeniaqian94/kdd21-MLVis,"This dataset contains approximately 1,000 datasets and their corresponding visualizations, used for research on recommending appropriate visualizations based on data characteristics.  It was curated from the Plot.ly corpus and used in a KDD '21 paper titled ""Learning to Recommend Visualizations from Data"". The data is organized into dataset files (.csv) and visualization files (.csv), along with supporting files for the model implementation described in the paper.","The original curated sample was 1,000 datasets, but pre-processing may result in a slightly smaller final dataset size (e.g., 925 as reported in the paper). | Gemini-identified sources: xeniaqian94/kdd21-MLVis",299,1,22,Split into 2 records on 2025-08-04 17:48:17,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kdd_cup_2018_with_missing_values,Nature,1 (Univariate),9504 - 10920,Hourly,Zenodo,Zenodo Record,Contains 270 hourly time series of air quality measurements from the KDD Cup 2018 competition. This version contains the original missing values.,Competition Dataset: KDD Cup 2018. Contains missing values.,300,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:48:48,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
kdd_cup_2018_without_missing_values,Nature,1 (Univariate),9504 - 10920,Hourly,Zenodo,Zenodo Record,Contains 270 hourly time series of air quality measurements from the KDD Cup 2018 competition. Missing values have been imputed.,Competition Dataset: KDD Cup 2018. Missing values imputed. Part of the common TSF-32 subset (as 'kdd_cup_2018').,301,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:48:49,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
KPI,Anomaly Detection,1 (from a set of 27 KPIs),Varies per KPI (16k-295k),1-Minute,AIOps Challenge 2018,AIOps Challenge Data,"27 real-world KPIs from production systems of major internet companies (e.g., Tencent, eBay) with manually labeled anomalies of diverse types.","Highly realistic and challenging dataset that tests the model's robustness against noisy, complex industrial monitoring data with varied patterns.",302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
L2C,Enterprise Resource Planning (ERP) / Sales,"9 (7 Biz-KPIs, 2 IT Events)",31968,5 minutes,SAP Developer Tutorials,SAP L2C Tutorial,"Relates to the Lead-to-Cash (L2C) business process, covering steps from customer interest to revenue realization (e.g., order updates, approvals). Based on an SAP workflow.","The linked tutorial provides a LeadToCashEvents.json file, which is the most direct and accessible artifact for replicating this dataset's event structure.",303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
LakeIce,Satellite,1,161,Daily,"Duguay, C. R. et al. (2022)",monster-monash/LakeIce,"This dataset consists of pixel-level time series data from satellite imagery of the Yukon, Canada, spanning three decades. Each time series represents the daily backscatter values (a measure of radar reflectivity) for a single pixel over a 161-day period. The task is to classify each pixel's land cover type into one of three classes: bedfast ice (ice frozen to the lakebed), floating ice, or land.5","The time series are relatively short but there are many of them. The challenge is to classify land cover based on the temporal evolution of its radar signature. Different ice types and land have distinct patterns of change throughout the season, which the model must learn to recognize. Cross-validation folds are based on geographic location to test spatial generalization.",304,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LargeKitchenAppliances,Device,1,720,Not specified,"timeseriesclassification.com, cs.ucr.edu",LargeKitchenAppliances Description,This dataset contains power consumption data. The task is to classify which of 3 large kitchen appliances is in use.,Donated by J. Lines & A. Bagnall. A 3-class problem with 375 training and 375 testing instances.,305,6,22,Auto-reconciled (1 unique source) on 2025-08-04 17:48:49,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
LargeST,Transportation,"3,363 sensors","~43,800 (for 5 years)",5 minutes,Kaggle / GitHub,Link,"A large-scale traffic benchmark dataset. The public CA sub-dataset contains traffic flow data from 2017 to 2021 for 3,363 sensors, along with road network information.","Designed as a modern, large-scale benchmark for traffic forecasting models.26",306,3,22,Auto-reconciled (1 unique source) on 2025-08-04 17:48:50,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,
largest_2017,Transport,Multiple,440000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Large-scale transportation data from the year 2017. Specifics on variables and frequency are not detailed in the source.,Part of the massive pre-training corpus for scaling law experiments. 3,307,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
largest_2018,Transport,Multiple,220000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Large-scale transportation data from the year 2018. Specifics on variables and frequency are not detailed in the source.,Part of the massive pre-training corpus for scaling law experiments. 3,308,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
largest_2019,Transport,Multiple,1310000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Large-scale transportation data from the year 2019. Specifics on variables and frequency are not detailed in the source.,Part of the massive pre-training corpus for scaling law experiments. Contributes significantly to the total data volume. 3,309,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
